Well,DELTA,FLUO^O,STDEV%,STDEV
4- G8,0.496367181,1410.75,4.427379712,0.021959723
4- G9,0.368639276,1326.5,6.490858697,0.023916962
4- G10,0.032188841,116.5,102.0614306,0.032318441
4- G11,0.137288136,295,15.2979263,0.020969058
4- G12,0.221304707,302.75,22.55255423,0.049656204
4- H1,0.09223847,444.5,31.17505233,0.028967196
4- H2,-0.012051282,3900,-49.29999575,0.005967414
4- H3,0.000419921,5953.5,1926.662058,0.010466091
4- H4,0.000328395,6851.5,2432.330454,0.006532604
4- H5,0,3823.75,2685.447414,0.016272638
4- H6,0.073705179,1506,12.79201233,0.009445083
4- H7,0.010323514,3802,98.83366387,0.010654722
4- H8,0.10022779,109.75,109.4346414,0.119569766
4- H9,-0.015414258,2595,-73.5436788,0.011464534
4- H10,-0.007585131,4647.25,-155.6447511,0.011774651
4- H11,0.322916667,24,54.82965231,0.177262816
4- H12,-0.037383178,26.75,-595.3553841,0.16847474
5- A1,0.318805717,1766.75,10.73191326,0.034308879
5- A2,0.096426462,1693,45.49027749,0.044137627
5- A3,0.179519201,800.75,21.40503946,0.0384922
5- A4,0.056043496,597.75,35.92455146,0.020216949
5- A5,0.077306733,100.25,44.08415767,0.033870377
5- A6,0.112531969,97.75,86.02469215,0.106390817
5- A7,0.223427332,345.75,21.4552306,0.048103913
5- A8,0.103448276,101.5,58.08192168,0.062629616
5- A9,-0.027636487,5898,-24.95329175,0.006852949
5- A10,-0.026366882,3991.75,-84.93651694,0.02154498
5- A11,-0.037651602,4143.25,-31.2927984,0.011744531
5- A12,-0.034922615,4409.75,-24.01793394,0.008391611
5- B1,-0.023843885,7968.5,-17.18881228,0.004097379
5- B2,0.061619477,3655.5,14.89888799,0.00918004
5- B3,0.005415861,5170,271.8807979,0.014842036
5- B4,-0.026695107,3867.75,-33.60694798,0.008996348
5- B5,-0.03094984,3279.5,-31.23146953,0.009675298
5- B6,0.360197911,2273.75,5.955854067,0.021514827
5- B7,0.155626647,1328.5,15.31237991,0.023810475
5- B8,0.102252252,3330,11.87298954,0.012165386
5- B9,0.28789351,2573,5.80596568,0.016735408
5- B10,-0.01342889,10779,-38.91707575,0.005523559
5- B11,-0.019772451,9053,-75.71656048,0.015153356
5- B12,-0.027747306,7748.5,-46.30963659,0.012869606
5- C1,-0.027918977,6492,-9.409318441,0.002623728
5- C2,-0.019186591,5876.5,-81.73431511,0.015505591
5- C3,-0.011411743,4074.75,-87.57610643,0.009890765
5- C4,-0.012289138,3275.25,-196.7908411,0.023553937
5- C5,0.291364535,379.25,26.4200431,0.077913289
5- C6,0.009061638,5435,71.79470687,0.006525038
5- C7,-0.010967883,5721.25,-125.5482957,0.01337072
5- C8,0.007122948,2421.75,125.2526554,0.008902519
5- C9,-0.00273551,5849,-467.6392215,0.005706117
5- C10,-0.02033397,4057.25,-60.60777926,0.011556472
5- C11,-0.021691609,8920.5,-62.82786715,0.013623993
5- C12,0.098773006,815,29.62954901,0.028867604
5- D1,0.052824148,1093.25,51.82994538,0.027589534
5- D2,0.161616162,123.75,32.96995644,0.054108352
5- D3,0.091463415,164,74.97346858,0.072712033
5- D4,0.006663026,4577.5,240.5638013,0.019289315
5- D5,0.001663894,3455.75,271.8065279,0.009628043
5- D6,0.012306115,1950.25,41.11594179,0.005057982
